farm_type,farm_name,season,boundary_descriptor,boundary_age,insect_key_number,new_insect_key_name,sum_of_insects_100_flowers,broad_insect_category,origin,boundary_alt
Arable,Ahuriri,2022/23,Control farm,NA,48,Flower longhorn beetle,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,49,Eleven spotted ladybird,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,52,Other ladybirds,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,54,Cabbage white butterfly,0.37174721189591076,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,55,Yellow admiral butterfly,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,56,Red admiral butterfly,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,57,Common copper butterfly,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,59,Magpie moth,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,59,Other moths,0,Non-bees,Both,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,60,Other insects,0,Non-bees,Both,Control farm
Arable,Ahuriri,2022/23,Two year old,NA,1,Honey bee,0,Honey bees,Exotic,New
Arable,Ahuriri,2022/23,Two year old,NA,2,Buff-tailed bumble bee,0,Wild bees,Exotic,New
Arable,Ahuriri,2022/23,Two year old,NA,3,Other bumblebees,0,Wild bees,Exotic,New
Arable,Ahuriri,2022/23,Two year old,NA,4,Lasioglossum bee,1.9047619047619047,Wild bees,Native,New
Arable,Ahuriri,2022/23,Two year old,NA,5,Black Leioproctus bees,0,Wild bees,Exotic,New
Arable,Ahuriri,2022/23,Two year old,NA,6,Orange Leioproctus bee,0,Wild bees,Native,New
Arable,Ahuriri,2022/23,Two year old,NA,7,Hylaeus bees,0,Wild bees,Native,New
Arable,Ahuriri,2022/23,Two year old,NA,8,Ichneumonid wasps,0,Non-bees,Exotic,New
Arable,Ahuriri,2022/23,Two year old,NA,9,Other parasitoid wasps,0,Non-bees,Both,New
